id,city_name,province_id
110100,北京市,北京市
120100,天津市,天津市
130100,石家庄市,河北省
130200,唐山市,河北省
130300,秦皇岛市,河北省
130400,邯郸市,河北省
130500,邢台市,河北省
130600,保定市,河北省
130700,张家口市,河北省
130800,承德市,河北省
130900,沧州市,河北省
131000,廊坊市,河北省
131100,衡水市,河北省
140100,太原市,山西省
140200,大同市,山西省
140300,阳泉市,山西省
140400,长治市,山西省
140500,晋城市,山西省
140600,朔州市,山西省
140700,晋中市,山西省
140800,运城市,山西省
140900,忻州市,山西省
141000,临汾市,山西省
141100,吕梁市,山西省
150100,呼和浩特市,内蒙古自治区
150200,包头市,内蒙古自治区
150300,乌海市,内蒙古自治区
150400,赤峰市,内蒙古自治区
150500,通辽市,内蒙古自治区
150600,鄂尔多斯市,内蒙古自治区
150700,呼伦贝尔市,内蒙古自治区
150800,巴彦淖尔市,内蒙古自治区
150900,乌兰察布市,内蒙古自治区
152200,兴安盟,内蒙古自治区
152500,锡林郭勒盟,内蒙古自治区
152900,阿拉善盟,内蒙古自治区
210100,沈阳市,辽宁省
210200,大连市,辽宁省
210300,鞍山市,辽宁省
210400,抚顺市,辽宁省
210500,本溪市,辽宁省
210600,丹东市,辽宁省
210700,锦州市,辽宁省
210800,营口市,辽宁省
210900,阜新市,辽宁省
211000,辽阳市,辽宁省
211100,盘锦市,辽宁省
211200,铁岭市,辽宁省
211300,朝阳市,辽宁省
211400,葫芦岛市,辽宁省
220100,长春市,吉林省
220200,吉林市,吉林省
220300,四平市,吉林省
220400,辽源市,吉林省
220500,通化市,吉林省
220600,白山市,吉林省
220700,松原市,吉林省
220800,白城市,吉林省
222400,延边朝鲜族自治州,吉林省
230100,哈尔滨市,黑龙江省
230200,齐齐哈尔市,黑龙江省
230300,鸡西市,黑龙江省
230400,鹤岗市,黑龙江省
230500,双鸭山市,黑龙江省
230600,大庆市,黑龙江省
230700,伊春市,黑龙江省
230800,佳木斯市,黑龙江省
230900,七台河市,黑龙江省
231000,牡丹江市,黑龙江省
231100,黑河市,黑龙江省
231200,绥化市,黑龙江省
232700,大兴安岭地区,黑龙江省
310100,上海市,上海市
320100,南京市,江苏省
320200,无锡市,江苏省
320300,徐州市,江苏省
320400,常州市,江苏省
320500,苏州市,江苏省
320600,南通市,江苏省
320700,连云港市,江苏省
320800,淮安市,江苏省
320900,盐城市,江苏省
321000,扬州市,江苏省
321100,镇江市,江苏省
321200,泰州市,江苏省
321300,宿迁市,江苏省
330100,杭州市,浙江省
330200,宁波市,浙江省
330300,温州市,浙江省
330400,嘉兴市,浙江省
330500,湖州市,浙江省
330600,绍兴市,浙江省
330700,金华市,浙江省
330800,衢州市,浙江省
330900,舟山市,浙江省
331000,台州市,浙江省
331100,丽水市,浙江省
340100,合肥市,安徽省
